kline_open_time,open_price,high_price,low_price,close_price
2022-12-08 14:00:00,16856.57,16939.84,16829.26,16897.41
2022-12-08 15:00:00,16897.98,16957.79,16881.26,16917.4
2022-12-08 16:00:00,16917.39,16957.88,16909.46,16947.8
2022-12-08 17:00:00,16947.8,16977.36,16933.65,16966.57
2022-12-08 18:00:00,16966.57,17282.15,16958.96,17248.03
2022-12-08 19:00:00,17248.03,17299.0,17187.0,17251.62
2022-12-08 20:00:00,17251.32,17297.65,17154.94,17195.91
2022-12-08 21:00:00,17195.91,17204.78,17169.25,17180.93
2022-12-08 22:00:00,17180.93,17246.88,17176.04,17201.83
2022-12-08 23:00:00,17202.36,17279.76,17201.23,17224.1
2022-12-09 00:00:00,17224.1,17259.0,17186.5,17204.52
2022-12-09 01:00:00,17204.52,17300.0,17198.12,17234.84
2022-12-09 02:00:00,17235.43,17255.61,17204.42,17216.38
2022-12-09 03:00:00,17215.82,17234.09,17191.05,17202.66
2022-12-09 04:00:00,17202.01,17229.0,17188.0,17225.41
2022-12-09 05:00:00,17225.41,17225.41,17200.8,17218.24
2022-12-09 06:00:00,17218.24,17220.0,17191.41,17218.0
2022-12-09 07:00:00,17218.0,17235.85,17210.54,17211.93
2022-12-09 08:00:00,17211.65,17216.0,17200.0,17206.31
2022-12-09 09:00:00,17206.31,17263.7,17201.76,17237.4
2022-12-09 10:00:00,17238.06,17269.39,17203.12,17216.21
2022-12-09 11:00:00,17216.21,17257.28,17209.29,17241.44
2022-12-09 12:00:00,17241.16,17360.0,17170.85,17256.24
2022-12-09 13:00:00,17257.31,17275.22,17058.21,17150.7
2022-12-09 14:00:00,17151.55,17173.94,17079.83,17156.25
2022-12-09 15:00:00,17156.25,17199.36,17136.94,17181.5
2022-12-09 16:00:00,17181.5,17187.51,17152.07,17159.9
2022-12-09 17:00:00,17159.12,17171.38,17150.61,17164.34
2022-12-09 18:00:00,17163.99,17164.48,17119.03,17147.42
2022-12-09 19:00:00,17147.42,17165.2,17122.48,17142.67
2022-12-09 20:00:00,17142.67,17151.63,17096.38,17101.31
2022-12-09 21:00:00,17101.31,17124.33,17067.1,17111.1
2022-12-09 22:00:00,17111.1,17132.97,17105.49,17132.97
2022-12-09 23:00:00,17132.87,17158.22,17117.11,17128.56
2022-12-10 00:00:00,17128.56,17169.09,17120.77,17152.88
